ID,Gruppo,Collezione,Editore,Anno,Tipologia,Numero,Soggetto,Squadra / Sezione,Rarità,Condizione,Quantità,Note
Pan_CIT_Cal_S_91_0298,CIT,Calciatori 1990-1991,Panini,1991,Sticker,298,Giuseppe Giannini,Roma,,Seghettata,1,
Pan_CIT_Cal_S_91_0316,CIT,Calciatori 1990-1991,Panini,1991,Sticker,316,Gianluca Vialli,Sampdoria,,Seghettata,1,
Eur_FLA_Cal_S_93_SC1,FLA,Calcioflash 1993,Euroflash,1993,Sticker,SC1,Scudetto,Ancona,,,1,
Eur_FLA_Cal_S_93_0018,FLA,Calcioflash 1993,Euroflash,1993,Sticker,18,Fabrizio Ferron,Atalanta,,,1,
Eur_FLA_Cal_S_93_0022,FLA,Calcioflash 1993,Euroflash,1993,Sticker,22,Luigino Pasciullo,Atalanta,,,1,
Eur_FLA_Cal_S_93_0023,FLA,Calcioflash 1993,Euroflash,1993,Sticker,23,Paolo Montero,Atalanta,,,1,
Eur_FLA_Cal_S_93_SC5,FLA,Calcioflash 1993,Euroflash,1993,Sticker,SC5,Scudetto,Fiorentina,,,1,
Eur_FLA_Cal_S_93_0075,FLA,Calcioflash 1993,Euroflash,1993,Sticker,75,Gianluca Luppi,Fiorentina,,,1,
Eur_FLA_Cal_S_93_0081,FLA,Calcioflash 1993,Euroflash,1993,Sticker,81,Stefan Effenberg,Fiorentina,,,1,
Eur_FLA_Cal_S_93_SC7,FLA,Calcioflash 1993,Euroflash,1993,Sticker,SC7,Scudetto,Genoa,,,2,
Eur_FLA_Cal_S_93_0205,FLA,Calcioflash 1993,Euroflash,1993,Sticker,205,Angelo Carbone,Napoli,,,1,
Eur_FLA_Cal_S_93_SC13,FLA,Calcioflash 1993,Euroflash,1993,Sticker,SC13,Scudetto,Parma,,,2,
Eur_FLA_Cal_S_93_SC20,FLA,Calcioflash 1993,Euroflash,1993,Sticker,SC20,Scudetto,Bari,,,2,
Eur_FLA_Cal_S_93_0330,FLA,Calcioflash 1993,Euroflash,1993,Sticker,330,Bellotti / Bucaro / Sottil,Bologna,,,1,
Eur_FLA_Cal_S_93_SC22,FLA,Calcioflash 1993,Euroflash,1993,Sticker,SC22,Scudetto,Cesena,,,2,
Eur_FLA_Cal_S_93_SC24,FLA,Calcioflash 1993,Euroflash,1993,Sticker,SC24,Scudetto,Cremonese,,,2,
Eur_FLA_Cal_S_93_SC27,FLA,Calcioflash 1993,Euroflash,1993,Sticker,SC27,Scudetto,Lucchese,,,2,
Eur_FLA_Cal_S_93_SC32,FLA,Calcioflash 1993,Euroflash,1993,Sticker,SC32,Scudetto,Pisa,,,2,
Eur_FLA_Cal_S_93_SC34,FLA,Calcioflash 1993,Euroflash,1993,Sticker,SC34,Scudetto,Spal,,,2,
Eur_FLA_Cal_S_93_0386,FLA,Calcioflash 1993,Euroflash,1993,Sticker,386,Zaffaroni / Monti / Enzo,Taranto,,,1,
Eur_FLA_Cal_S_93_SC36,FLA,Calcioflash 1993,Euroflash,1993,Sticker,SC36,Scudetto,Ternana,,,2,
Eur_FLA_Cal_S_93_SC38,FLA,Calcioflash 1993,Euroflash,1993,Sticker,SC38,Scudetto,Verona,,,2,
Eur_FLA_Cal_S_93_SC43,FLA,Calcioflash 1993,Euroflash,1993,Sticker,SC43,Scudetto,Chievo / Reggina / Giarre,,,2,
Eur_FLA_Cal_S_93_SC47,FLA,Calcioflash 1993,Euroflash,1993,Sticker,SC47,Scudetto,Massese / Alessandria / Palazzolo,,,3,
Eur_FLA_Cal_S_93_SC40,FLA,Calcioflash 1993,Euroflash,1993,Sticker,SC40,Scudetto,Casarano / Perugia / Arezzo,,,1,
Pan_CIT_Cal_S_95_0604,CIT,Calciatori 1994-1995,Panini,1995,Sticker,604,Squadra,Turris,,,1,
Pan_CIT_Cal_S_95_0553,CIT,Calciatori 1994-1995,Panini,1995,Sticker,553,Squadra,Bologna,,,3,
Pan_CIT_Cal_S_95_0539,CIT,Calciatori 1994-1995,Panini,1995,Sticker,539,Lunini / Lamacchi,Hellas Verona,,,2,
Pan_CIT_Cal_S_95_0528,CIT,Calciatori 1994-1995,Panini,1995,Sticker,528,Pellegrini / Nardini,Venezia,,,1,
Pan_CIT_Cal_S_95_0500,CIT,Calciatori 1994-1995,Panini,1995,Sticker,500,Piovani / Papais,Piacenza,,,1,
Pan_CIT_Cal_S_95_0458,CIT,Calciatori 1994-1995,Panini,1995,Sticker,458,Mascotte,Lucchese / Palermo,,,1,
Pan_CIT_Cal_S_95_0410,CIT,Calciatori 1994-1995,Panini,1995,Sticker,410,Squadra,Chievo Verona,,,1,
Pan_CIT_Cal_S_95_0407,CIT,Calciatori 1994-1995,Panini,1995,Sticker,407,Hubner / Calcaterra,Cesena,,Rovinata,1,
Pan_CIT_Cal_S_95_0404,CIT,Calciatori 1994-1995,Panini,1995,Sticker,404,Aloisi / Medri,Cesena,,,1,
Pan_CIT_Cal_S_95_0388,CIT,Calciatori 1994-1995,Panini,1995,Sticker,388,Zaini / Benetti,Ascoli,,,1,
Pan_CIT_Cal_S_95_0362,CIT,Calciatori 1994-1995,Panini,1995,Sticker,362,Squadra,Acireale,,,1,
Pan_CIT_Cal_S_95_0327,CIT,Calciatori 1994-1995,Panini,1995,Sticker,327,Squadra,Sampdoria,,,1,
Pan_CIT_Cal_S_95_0308,CIT,Calciatori 1994-1995,Panini,1995,Sticker,308,Squadra,Roma,,,1,
Pan_CIT_Cal_S_95_0287,CIT,Calciatori 1994-1995,Panini,1995,Sticker,287,Squadra,Reggiana,,,1,
Pan_CIT_Cal_S_95_0275,CIT,Calciatori 1994-1995,Panini,1995,Sticker,275,Faustino Asprilla,Parma,,,1,
Pan_CIT_Cal_S_95_0267,CIT,Calciatori 1994-1995,Panini,1995,Sticker,267,Squadra,Parma,,,1,
Pan_CIT_Cal_S_95_0185,CIT,Calciatori 1994-1995,Panini,1995,Sticker,185,Giuseppe Favalli,Lazio,,,1,
Pan_CIT_Cal_S_95_0048,CIT,Calciatori 1994-1995,Panini,1995,Sticker,48,Squadra,Cagliari,,,1,
Pan_CPO_Fut_S_96_0278,CPO,Futebol 95-96,Panini,1996,Sticker,278,Alex,Maritimo,,,1,
Pan_CPO_Fut_S_96_0313,CPO,Futebol 95-96,Panini,1996,Sticker,313,Milovac,Salgueiros,,,1,
Edi_CIT_Bol_S_97_0058,CIT,Bologna 1996-1997,Ediland,1997,Sticker,58,Michele Paramatti,Bologna,,,1,
Edi_CIT_Bol_S_97_0099,CIT,Bologna 1996-1997,Ediland,1997,Sticker,99,Carlo Nervo,Bologna,,,1,
Mer_CIT_Cal_S_98_0183,CIT,Calcio 98,Merlin,1998,Sticker,183,Filippo Inzaghi,Juventus,,Rovinata,1,
Mer_CIT_Cal_S_98_0457,CIT,Calcio 98,Merlin,1998,Sticker,457,Scudetto,Foggia,,,1,
Mer_CIT_Cal_S_98_0403,CIT,Calcio 98,Merlin,1998,Sticker,403,Giacomo Dicara,Vicenza,,,1,
Mer_CIT_Cal_S_98_0318,CIT,Calcio 98,Merlin,1998,Sticker,318,Aladino Valoti,Piacenza,,,4,
Mer_CIT_Cal_S_98_0317,CIT,Calcio 98,Merlin,1998,Sticker,317,Giuseppe Scienza,Piacenza,,,3,
Mer_CIT_Cal_S_98_0316,CIT,Calcio 98,Merlin,1998,Sticker,316,Marco Piovanelli,Piacenza,,,3,
Mer_CIT_Cal_S_98_0314,CIT,Calcio 98,Merlin,1998,Sticker,314,Roberto Bordin,Piacenza,,,3,
Mer_CIT_Cal_S_98_0310,CIT,Calcio 98,Merlin,1998,Sticker,310,Daniele Delli Carri,Piacenza,,,8,
Mer_CIT_Cal_S_98_0309,CIT,Calcio 98,Merlin,1998,Sticker,309,Paolo Tramezzani,Piacenza,,,1,
Mer_CIT_Cal_S_98_0308,CIT,Calcio 98,Merlin,1998,Sticker,308,Cleto Polonia,Piacenza,,,2,
Mer_CIT_Cal_S_98_0307,CIT,Calcio 98,Merlin,1998,Sticker,307,Matteo Sereni,Piacenza,,,2,
Mer_CIT_Cal_S_98_0301,CIT,Calcio 98,Merlin,1998,Sticker,301,Adailton,Parma,,,4,
Mer_CIT_Cal_S_98_0300,CIT,Calcio 98,Merlin,1998,Sticker,300,Filippo Maniero,Parma,,1 Velina scritte,5,
Mer_CIT_Cal_S_98_0185,CIT,Calcio 98,Merlin,1998,Sticker,185,Nicola Amoruso,Juventus,,,2,
Mer_CIT_Cal_S_98_0151,CIT,Calcio 98,Merlin,1998,Sticker,151,Luigi Sartor,Inter,,,1,
Mer_CIT_Cal_S_98_0114,CIT,Calcio 98,Merlin,1998,Sticker,114,Carmine Esposito,Empoli,,,2,
Mer_CIT_Cal_S_98_0110,CIT,Calcio 98,Merlin,1998,Sticker,110,Tonino Martino,Empoli,,,1,
Mer_CIT_Cal_S_98_0101,CIT,Calcio 98,Merlin,1998,Sticker,101,Pietro Fusco,Empoli,,,1,
Mer_CIT_Cal_S_98_0092,CIT,Calcio 98,Merlin,1998,Sticker,92,Girolamo Bizzarri,Brescia,,,1,
